,pospair,negpair
0,*MOT: what is that ?	*CHI: it looks like a gun .,*MOT: what is that ?	*CHI: what's that a plant ?
1,*MOT: pull the string .	*CHI: and where do they hook it ?,"*MOT: pull the string .	*CHI: oh , the door's fell ."
2,*MOT: I think they just throw it on the side .	*CHI: you know what Mom ?,*MOT: I think they just throw it on the side .	*CHI: E T phone home .
3,*MOT: what are you playing with huh toys ?	*CHI: there's a dog .,*MOT: what are you playing with huh toys ?	*CHI: want me to see .
4,*MOT: the bottom ones come off .	*CHI: want to know what ?,*MOT: the bottom ones come off .	*CHI: I maked it .
5,*MOT: can you say that ?	*CHI: okay the hungry hungry caterpillar .,*MOT: can you say that ?	*CHI: I am vodka ?
6,*MOT: what is it ?	*CHI: a baby caterpillar !,"*MOT: what is it ?	*CHI: no , Mummy ."
7,*MOT: what is it ?	*CHI: I don't .. know !,*MOT: what is it ?	*CHI: where has my car gone ?
8,*MOT: how many apples are there ?	*CHI: three of them .,*MOT: how many apples are there ?	*CHI: cars get in .
9,*MOT: how many are there ?	*CHI: two of them !,*MOT: how many are there ?	*CHI: I see one .
10,*MOT: what is that ?	*CHI: a little worm !,*MOT: what is that ?	*CHI: mom look it .
11,*MOT: now what were you supposed to do with that ant hill ?	*CHI: I saw it .,*MOT: now what were you supposed to do with that ant hill ?	*CHI: tip them out .
12,*MOT: what did they have at Uncle Gordy's house that you liked ?	*CHI: the little cats .,*MOT: what did they have at Uncle Gordy's house that you liked ?	*CHI: I think so .
13,*MOT: what's the name of that lady ?	*CHI: I don't know .,*MOT: what's the name of that lady ?	*CHI: there's a nose .
14,*MOT: what is this ?	*CHI: a Snoopy dog .,*MOT: what is this ?	*CHI: on the board .
15,*MOT: you going to tell him what you got ?	*CHI: a Snoopy dog house .,*MOT: you going to tell him what you got ?	*CHI: it is very nice .
16,*MOT: oh what is that ?	*CHI: Cody broke his motorcycle .,*MOT: oh what is that ?	*CHI: got to lay an egg .
17,*MOT: hey what's that coming down the street ?	*CHI: a big a big dump truck .,*MOT: hey what's that coming down the street ?	*CHI: hello this is the fire man .
18,*MOT: oh my gosh what'd you do to that band aid ?	*CHI: I'm doing something silly .,*MOT: oh my gosh what'd you do to that band aid ?	*CHI: put some people in there .
19,*MOT: he's got to get some pizza ?	*CHI: and Kit Kat .,*MOT: he's got to get some pizza ?	*CHI: pulled her tail .
20,*MOT: is that for the rocks ?	*CHI: I spray you up .,*MOT: is that for the rocks ?	*CHI: where're the other .
21,*MOT: is that fun ?	*CHI: I'm sleeping at beach .,*MOT: is that fun ?	*CHI: who's that bear called ?
22,*MOT: do you think those came with the rescue set from Margaret ?	*CHI: yes they did .,*MOT: do you think those came with the rescue set from Margaret ?	*CHI: oh patch book ?
23,*MOT: is it the hose ?	*CHI: no it's a hook .,*MOT: is it the hose ?	*CHI: it's not in there .
24,*MOT: is that for baby Rory ?	*CHI: all the water has gone in this pump .,*MOT: is that for baby Rory ?	*CHI: and I'm going to dream about curtains .
25,*MOT: what can you see outside ?	*CHI: just a tree blowing on the wind .,*MOT: what can you see outside ?	*CHI: but I want to wear different pants .
26,*MOT: yes three pairs of scissors .	*CHI: I like bluey !,*MOT: yes three pairs of scissors .	*CHI: I want the taperecorder .
27,*MOT: now what do you think to that ?	*CHI: they don't cut .,*MOT: now what do you think to that ?	*CHI: I going back home .
28,*MOT: why Auntie Frank ?	*CHI: because it is a name .,*MOT: why Auntie Frank ?	*CHI: no we just did it .
29,*MOT: where's the pussy cat ?	*CHI: on this piece of paper I nearly snipped .,*MOT: where's the pussy cat ?	*CHI: that night he .. had a stomachache .
30,*MOT: now would you like a little bit of glue ?	*CHI: oh yes please .,*MOT: now would you like a little bit of glue ?	*CHI: I got one .
31,*MOT: oh that's nice .	*CHI: did you cut a tail off ?,*MOT: oh that's nice .	*CHI: I take all the bricks off .
32,*MOT: do you think you would ?	*CHI: tell everybody I want it .,*MOT: do you think you would ?	*CHI: ada daday dada .
33,*MOT: again I'm going to leave the size on it .	*CHI: where's my picture ?,*MOT: again I'm going to leave the size on it .	*CHI: on the train tracks .
34,*MOT: you got it ?	*CHI: I am going back next door to my house .,*MOT: you got it ?	*CHI: so so he's going to squirt the fire ?
35,"*MOT: whereabouts did you see it , Thomas ?	*CHI: right near the wooden table .","*MOT: whereabouts did you see it , Thomas ?	*CHI: buy it from the shopping ?"
36,*MOT: he's not that near but he's a lot closer than I thought when his Mummy .	*CHI: you know what do you know my dinner lady Mrs Rose ?,*MOT: he's not that near but he's a lot closer than I thought when his Mummy .	*CHI: ch ch ch ch ch ch ch ch ch ch ch .
37,"*MOT: but that's not a police helicopter , Thomas .	*CHI: how do you know because the one on video were like that ?","*MOT: but that's not a police helicopter , Thomas .	*CHI: but I still want to do it after , this is over ."
38,*MOT: do I need some equipment ?	*CHI: you just stick it together with glue .,*MOT: do I need some equipment ?	*CHI: we dug a hole for him .
