step,loss,grad_norm,learning_rate,rewards/chosen,rewards/rejected,rewards/accuracies,rewards/margins,logps/chosen,logps/rejected,logits/chosen,logits/rejected,epoch
10,0.6913,4.300853729248047,4.992007104795738e-06,0.017154386267066002,0.013232031837105751,0.5375000238418579,0.0039223553612828255,-105.7801284790039,-109.86260986328125,-4.616331100463867,-4.586504936218262,0.017777777777777778
20,0.6836,3.862506866455078,4.983126110124334e-06,0.054265767335891724,0.03393023833632469,0.606249988079071,0.02033553086221218,-104.32664489746094,-111.8692626953125,-4.647467136383057,-4.61223030090332,0.035555555555555556
30,0.6786,4.084738254547119,4.9742451154529306e-06,0.08264628797769547,0.0502130389213562,0.6156250238418579,0.03243323788046837,-105.63450622558594,-109.7245864868164,-4.6769866943359375,-4.632601737976074,0.05333333333333334
40,0.678,3.9772348403930664,4.965364120781528e-06,0.10021668672561646,0.06475196778774261,0.606249988079071,0.03546471148729324,-106.01914978027344,-110.2420654296875,-4.664611339569092,-4.631075859069824,0.07111111111111111
50,0.6678,4.037143230438232,4.956483126110125e-06,0.12338797748088837,0.06467965245246887,0.6656249761581421,0.0587083175778389,-104.58775329589844,-109.72882080078125,-4.676774978637695,-4.600029945373535,0.08888888888888889
60,0.6676,4.121768951416016,4.947602131438722e-06,0.13499292731285095,0.07360280305147171,0.6312500238418579,0.06139013171195984,-105.3175048828125,-109.35477447509766,-4.70377254486084,-4.626184463500977,0.10666666666666667
70,0.6724,4.269249439239502,4.938721136767318e-06,0.11824361979961395,0.06585481017827988,0.590624988079071,0.05238879844546318,-107.00987243652344,-111.3248519897461,-4.737759590148926,-4.65169095993042,0.12444444444444444
80,0.6636,3.964505910873413,4.929840142095915e-06,0.13976851105690002,0.06672044098377228,0.637499988079071,0.07304807752370834,-106.27691650390625,-111.50410461425781,-4.753631591796875,-4.65639591217041,0.14222222222222222
90,0.6754,4.140806198120117,4.920959147424512e-06,0.1428019404411316,0.09115055948495865,0.574999988079071,0.051651377230882645,-106.40428161621094,-112.29280090332031,-4.724169731140137,-4.724633693695068,0.16
100,0.6752,4.233684539794922,4.912078152753108e-06,0.13478165864944458,0.08209142833948135,0.628125011920929,0.052690230309963226,-105.25032043457031,-109.85501861572266,-4.702237129211426,-4.648184776306152,0.17777777777777778
110,0.6709,4.569053649902344,4.903197158081706e-06,0.1444956362247467,0.07946277409791946,0.581250011920929,0.06503285467624664,-105.19893646240234,-110.22438049316406,-4.717877388000488,-4.661554336547852,0.19555555555555557
120,0.6569,4.533966064453125,4.894316163410303e-06,0.1568412184715271,0.06685006618499756,0.659375011920929,0.08999114483594894,-104.9027328491211,-109.9336166381836,-4.723804950714111,-4.620841026306152,0.21333333333333335
130,0.6476,4.151802062988281,4.885435168738899e-06,0.17288899421691895,0.058371126651763916,0.671875,0.11451785266399384,-105.10636901855469,-111.47967529296875,-4.725706577301025,-4.602066516876221,0.2311111111111111
140,0.6605,3.916841983795166,4.876554174067496e-06,0.19299733638763428,0.10754019021987915,0.653124988079071,0.08545713126659393,-104.52735900878906,-109.41358947753906,-4.743408679962158,-4.676581859588623,0.24888888888888888
150,0.6506,4.26336145401001,4.867673179396093e-06,0.21742179989814758,0.10645824670791626,0.653124988079071,0.11096356064081192,-105.60250091552734,-110.0331802368164,-4.748127460479736,-4.652812957763672,0.26666666666666666
160,0.6531,4.364837169647217,4.85879218472469e-06,0.24325387179851532,0.13507868349552155,0.6156250238418579,0.10817517340183258,-103.32855224609375,-109.22254943847656,-4.7276716232299805,-4.67263126373291,0.28444444444444444
170,0.6548,4.060208320617676,4.849911190053286e-06,0.23074238002300262,0.12492118030786514,0.65625,0.10582119226455688,-103.4666748046875,-109.38777923583984,-4.723328590393066,-4.632286071777344,0.3022222222222222
180,0.647,3.925535202026367,4.841030195381883e-06,0.2528018653392792,0.12653391063213348,0.609375,0.1262679398059845,-104.53365325927734,-111.06993103027344,-4.682216644287109,-4.667068958282471,0.32
190,0.6501,4.241518974304199,4.83214920071048e-06,0.259799063205719,0.13441479206085205,0.621874988079071,0.12538428604602814,-103.84825134277344,-110.63230895996094,-4.702964782714844,-4.608946800231934,0.3377777777777778
200,0.6507,4.121569633483887,4.823268206039077e-06,0.24693942070007324,0.12787355482578278,0.621874988079071,0.11906586587429047,-106.22161865234375,-110.92558288574219,-4.809838771820068,-4.727033615112305,0.35555555555555557
210,0.647,4.093420505523682,4.814387211367674e-06,0.2512362003326416,0.12289969623088837,0.628125011920929,0.12833651900291443,-105.31319427490234,-109.93082427978516,-4.756285667419434,-4.672750949859619,0.37333333333333335
220,0.6545,4.2213664054870605,4.80550621669627e-06,0.26855310797691345,0.14949698746204376,0.6000000238418579,0.11905612796545029,-103.59466552734375,-109.5772705078125,-4.742506504058838,-4.688966751098633,0.39111111111111113
