step,loss,grad_norm,learning_rate,rewards/chosen,rewards/rejected,rewards/accuracies,rewards/margins,logps/chosen,logps/rejected,logits/chosen,logits/rejected,epoch
10,0.6449,7.956573486328125,4.992007104795738e-06,0.05068368837237358,-0.05225367099046707,0.8343750238418579,0.10293735563755035,-114.72178649902344,-113.94207763671875,-4.250063896179199,-3.69767689704895,0.017777777777777778
20,0.5564,9.75047492980957,4.983126110124334e-06,0.1423158496618271,-0.17212587594985962,0.9375,0.3144417405128479,-115.96562194824219,-117.89322662353516,-4.301041603088379,-3.7658209800720215,0.035555555555555556
30,0.4907,5.671967029571533,4.9742451154529306e-06,0.1593424379825592,-0.3309743404388428,0.949999988079071,0.4903167188167572,-116.12007904052734,-117.77796936035156,-4.222630500793457,-3.698962450027466,0.05333333333333334
40,0.4493,4.716183185577393,4.965364120781528e-06,0.1876877248287201,-0.4456259608268738,0.90625,0.6333137154579163,-115.72212219238281,-118.81959533691406,-4.195456504821777,-3.6790854930877686,0.07111111111111111
50,0.4015,4.575514793395996,4.956483126110125e-06,0.21677982807159424,-0.601050853729248,0.9156249761581421,0.8178306818008423,-115.389892578125,-120.6173095703125,-4.111713409423828,-3.6428451538085938,0.08888888888888889
60,0.3406,4.300926208496094,4.947602131438722e-06,0.31827735900878906,-0.7131745219230652,0.953125,1.031451940536499,-113.68719482421875,-121.57087707519531,-4.119781017303467,-3.5909621715545654,0.10666666666666667
70,0.3303,3.926375389099121,4.938721136767318e-06,0.29003074765205383,-0.807083249092102,0.9468749761581421,1.0971139669418335,-116.26661682128906,-123.47989654541016,-4.030257701873779,-3.5942375659942627,0.12444444444444444
80,0.3052,3.2443740367889404,4.929840142095915e-06,0.33093053102493286,-0.9098137021064758,0.9624999761581421,1.2407442331314087,-116.45478820800781,-124.37773132324219,-4.066725730895996,-3.6384100914001465,0.14222222222222222
90,0.2876,3.650200605392456,4.920959147424512e-06,0.40468043088912964,-0.964213490486145,0.921875,1.3688939809799194,-115.37325286865234,-126.8448257446289,-3.939175844192505,-3.593815565109253,0.16
100,0.2651,3.25260853767395,4.912078152753108e-06,0.4254778027534485,-1.0653712749481201,0.934374988079071,1.4908488988876343,-112.96824645996094,-125.3529052734375,-3.98913836479187,-3.524672269821167,0.17777777777777778
110,0.2761,3.9552805423736572,4.903197158081706e-06,0.3532370328903198,-1.1345759630203247,0.9375,1.487812876701355,-111.7658462524414,-125.28248596191406,-3.9470410346984863,-3.5312721729278564,0.19555555555555557
120,0.2395,3.180816411972046,4.894316163410303e-06,0.5009322166442871,-1.192086100578308,0.940625011920929,1.6930183172225952,-113.08222961425781,-127.0184555053711,-3.873502016067505,-3.4557812213897705,0.21333333333333335
130,0.2295,3.4027013778686523,4.885435168738899e-06,0.44864368438720703,-1.3162331581115723,0.965624988079071,1.7648769617080688,-114.6039047241211,-128.3484344482422,-3.7910258769989014,-3.3875954151153564,0.2311111111111111
140,0.21,2.56168532371521,4.876554174067496e-06,0.5784655213356018,-1.3075709342956543,0.949999988079071,1.8860365152359009,-112.59375,-127.83245849609375,-3.824744462966919,-3.430508852005005,0.24888888888888888
150,0.2162,2.7261862754821777,4.867673179396093e-06,0.5433438420295715,-1.3848912715911865,0.9375,1.9282348155975342,-113.37239837646484,-129.06443786621094,-3.7302918434143066,-3.4325618743896484,0.26666666666666666
160,0.2152,3.195446729660034,4.85879218472469e-06,0.6024522185325623,-1.4265806674957275,0.940625011920929,2.0290329456329346,-114.28596496582031,-128.03738403320312,-3.7911925315856934,-3.392106294631958,0.28444444444444444
170,0.1948,1.7225744724273682,4.849911190053286e-06,0.7114614248275757,-1.478662133216858,0.9312499761581421,2.1901233196258545,-111.94561767578125,-129.5376434326172,-3.6933608055114746,-3.3627865314483643,0.3022222222222222
180,0.1865,3.1506052017211914,4.841030195381883e-06,0.7072027921676636,-1.5413423776626587,0.965624988079071,2.2485451698303223,-116.9244613647461,-130.72555541992188,-3.5865585803985596,-3.328369140625,0.32
190,0.186,2.236016273498535,4.83214920071048e-06,0.6746830344200134,-1.5724350214004517,0.96875,2.2471182346343994,-113.03265380859375,-131.59095764160156,-3.6125991344451904,-3.2986350059509277,0.3377777777777778
200,0.222,3.8165602684020996,4.823268206039077e-06,0.4769911766052246,-1.6099929809570312,0.925000011920929,2.086984157562256,-111.05259704589844,-132.06251525878906,-3.6490180492401123,-3.3466429710388184,0.35555555555555557
210,0.1746,2.5615673065185547,4.814387211367674e-06,0.7190596461296082,-1.6339038610458374,0.956250011920929,2.35296368598938,-108.69047546386719,-131.59506225585938,-3.612476348876953,-3.302727222442627,0.37333333333333335
220,0.1818,2.176459550857544,4.80550621669627e-06,0.7665168046951294,-1.6192381381988525,0.956250011920929,2.3857550621032715,-110.5753402709961,-130.4741668701172,-3.5453991889953613,-3.3319175243377686,0.39111111111111113
230,0.1615,2.4192278385162354,4.796625222024867e-06,0.7976607084274292,-1.7291600704193115,0.9593750238418579,2.526820659637451,-108.50852966308594,-133.78274536132812,-3.5414199829101562,-3.2782721519470215,0.4088888888888889
240,0.1533,10.945194244384766,4.787744227353464e-06,0.9019700884819031,-1.7532708644866943,0.96875,2.655241012573242,-109.3377914428711,-132.98379516601562,-3.4466347694396973,-3.2257285118103027,0.4266666666666667
250,0.185,3.527170181274414,4.77886323268206e-06,0.6492248773574829,-1.7750860452651978,0.953125,2.4243109226226807,-110.97037506103516,-134.20652770996094,-3.5321335792541504,-3.202286958694458,0.4444444444444444
260,0.1434,2.2475647926330566,4.769982238010658e-06,0.9119467735290527,-1.7783206701278687,0.9593750238418579,2.6902670860290527,-107.48393249511719,-132.01490783691406,-3.459709644317627,-3.2467613220214844,0.4622222222222222
270,0.1494,2.4667294025421143,4.761101243339255e-06,0.905026912689209,-1.8545045852661133,0.9593750238418579,2.7595314979553223,-109.82867431640625,-133.2703857421875,-3.384868621826172,-3.2056241035461426,0.48
280,0.1614,2.991098165512085,4.7522202486678505e-06,0.8973649740219116,-1.8665651082992554,0.9468749761581421,2.763929843902588,-109.43157958984375,-134.55587768554688,-3.4596686363220215,-3.1783547401428223,0.49777777777777776
290,0.1336,2.6821351051330566,4.743339253996448e-06,1.0953774452209473,-1.8654820919036865,0.971875011920929,2.960859775543213,-107.93802642822266,-133.9334716796875,-3.37542462348938,-3.128206729888916,0.5155555555555555
300,0.1839,3.97271990776062,4.734458259325045e-06,0.7503361701965332,-1.8885376453399658,0.9468749761581421,2.638874053955078,-108.9747085571289,-133.74827575683594,-3.35650372505188,-3.1824021339416504,0.5333333333333333
310,0.1748,2.2901511192321777,4.725577264653642e-06,0.8713955879211426,-1.9421192407608032,0.949999988079071,2.8135151863098145,-106.95582580566406,-133.26837158203125,-3.3504891395568848,-3.1509060859680176,0.5511111111111111
320,0.1449,5.458099842071533,4.716696269982238e-06,0.9478017091751099,-1.9359651803970337,0.949999988079071,2.8837668895721436,-107.3530044555664,-134.1652069091797,-3.3096485137939453,-3.129490613937378,0.5688888888888889
330,0.14,1.7875432968139648,4.707815275310835e-06,0.9598103761672974,-2.018752098083496,0.9593750238418579,2.978562593460083,-108.98939514160156,-134.89202880859375,-3.2838306427001953,-3.156715154647827,0.5866666666666667
